Date,Open,High,Low,Close,Adj Close,Volume
2010/1/1,7.6225,7.699643,6.794643,6.859286,5.898319,15168994400
2010/2/1,6.870357,7.3275,6.816071,7.307857,6.284047,10776080000
2010/3/1,7.348214,8.481429,7.3375,8.392857,7.217041,12154172800
2010/4/1,8.478929,9.730714,8.3125,9.324643,8.018287,12367129600
2010/5/1,9.422857,9.567143,7.116071,9.174286,7.888996,18082654800
2010/6/1,9.274643,9.964643,8.65,8.983214,7.724694,16651252800
2010/7/1,9.082143,9.499643,8.557143,9.1875,7.900359,15669704400
2010/8/1,9.301429,9.438571,8.412857,8.682143,7.465801,9589120800
2010/9/1,8.838214,10.526071,8.795714,10.133929,8.714196,11849919200
2010/10/1,10.219643,11.392857,9.920357,10.749286,9.24334,12234577600
2010/11/1,10.793571,11.475,10.634286,11.1125,9.555672,9508086000
2010/12/1,11.259643,11.666429,11.246071,11.52,9.906079,6973234800
2011/1/1,11.63,12.45,11.601429,12.118571,10.420792,10841535600
2011/2/1,12.189286,13.032143,12.061429,12.614643,10.847367,9295949600
2011/3/1,12.695357,12.916786,11.652143,12.446786,10.703026,11306458800
2011/4/1,12.539643,12.683214,11.434286,12.504643,10.752778,9253829200
2011/5/1,12.490714,12.565357,11.765,12.4225,10.682141,6912060400
2011/6/1,12.459643,12.576071,11.089286,11.988214,10.308697,9263850400
2011/7/1,11.998214,14.446429,11.935714,13.945714,11.991956,10653946800
2011/8/1,14.206429,14.267857,12.607857,13.743929,11.818443,16142599200
2011/9/1,13.779286,15.102143,13.088571,13.618571,11.71065,11977448000
2011/10/1,13.584643,15.239286,12.651429,14.456429,12.431125,13141427600
2011/11/1,14.193214,14.571429,12.975714,13.65,11.737673,8963701600
2011/12/1,13.662143,14.610357,13.488571,14.464286,12.437883,6306532400
2012/1/1,14.621429,16.365713,14.607143,16.302856,14.01887,6859854400
2012/2/1,16.371786,19.557501,16.213572,19.372856,16.658775,11368554400
2012/3/1,19.577499,22.194643,18.436428,21.4125,18.412664,15584338000
2012/4/1,21.493929,23,19.821428,20.856428,17.9345,15598990400
2012/5/1,20.889286,21.312857,18.649286,20.633215,17.742561,11106345600
2012/6/1,20.327143,21.071428,19.589287,20.857143,17.935118,7855825600
2012/7/1,20.883215,22.138214,20.357143,21.812857,18.756937,8909650400
2012/8/1,21.996786,24.316786,21.4375,23.758572,20.430059,8276206400
2012/9/1,23.777143,25.18107,23.428572,23.825001,20.57515,9199005200
2012/10/1,23.969999,24.169643,20.989286,21.261429,18.361259,12142830000
2012/11/1,21.365,21.535713,18.0625,20.902857,18.051605,12929851200
2012/12/1,21.201786,21.235357,17.901072,19.006071,16.488508,12132752800
2013/1/1,19.779285,19.821428,15.535714,16.2675,14.112698,13123423600
2013/2/1,16.396786,17.319286,15.630714,15.764286,13.676137,9344034000
2013/3/1,15.642857,16.78393,14.964286,15.809286,13.79511,9176876800
2013/4/1,15.782143,15.901786,13.753571,15.813571,13.798848,10963489600
2013/5/1,15.873571,16.633928,14.960714,16.061787,14.015441,9447530400
2013/6/1,16.0975,16.229643,13.888214,14.161786,12.439301,7018536000
2013/7/1,14.381786,16.33357,14.329286,16.161785,14.196044,6538114800
2013/8/1,16.276787,18.347857,16.187857,17.400715,15.284286,8058338400
2013/9/1,17.610714,18.139999,15.972143,17.026787,15.054588,8630941200
2013/10/1,17.0875,19.258928,17.081429,18.667856,16.505573,7837732000
2013/11/1,18.715,19.940357,18.299286,19.859644,17.559313,5225155600
2013/12/1,19.928572,20.540714,19.242857,20.036428,17.819059,7057397200
