Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-06-13,35935.8061697645,35437.6208880717,36174.2681210124,34822.5800492505
BTC,2021-06-14,40571.429907519,36062.132919536,41046.7695234004,36005.5332007578
BTC,2021-06-15,39946.2348450557,40697.8504979651,40859.6861286766,39365.2254698463
BTC,2021-06-16,38715.8720280858,40070.8096977579,41316.6024977708,38610.5138471984
BTC,2021-06-17,38971.745940205,38785.3731619633,39721.8953957581,38131.3335388389
BTC,2021-06-18,36467.6430495015,39062.2363233777,39147.2217742222,36394.0218475712
BTC,2021-06-19,35933.4126093882,36359.3856187556,36734.1347920496,34968.0123204383
BTC,2021-06-20,34512.8831361827,36142.7049758188,36222.4598044514,33380.5770288926
